Pair,Metric,MAE,sex,race
Average/P1,Label Train,0.70,(0.00) 0.47,(0.00) 0.25
Average/P1,Label Test,0.71,(0.00) 0.50,(0.00) 0.20
Average/P1,Model Train,0.72,(0.00) 0.44,(0.00) 0.25
Average/P1,Model Test (Unbiased Bridge),0.79,(0.00) 0.41,(0.00) 0.22
Average/P1,Biased Bridge,0.00,(0.00) 0.43,(0.00) 0.21
Average/P2,Label Train,0.44,(0.00) -0.12,(0.01) -0.08
Average/P2,Label Test,0.44,(0.00) -0.17,(0.09) -0.09
Average/P2,Model Train,0.44,(0.00) -0.15,(0.02) -0.07
Average/P2,Model Test (Unbiased Bridge),0.45,(0.00) -0.23,(0.34) -0.03
Average/P2,Biased Bridge,0.00,(0.00) -0.19,(0.29) -0.04
Average/P3,Label Train,0.58,(0.00) -0.16,(0.00) 0.14
Average/P3,Label Test,0.58,(0.01) -0.14,(0.02) 0.15
Average/P3,Model Train,0.60,(0.00) -0.17,(0.00) 0.14
Average/P3,Model Test (Unbiased Bridge),0.66,(0.00) -0.16,(0.01) 0.17
Average/P3,Biased Bridge,0.00,(0.01) -0.14,(0.01) 0.16
Average/Average,Label Train,0.00,(0.50) 0.00,(0.50) 0.00
Average/Average,Label Test,0.00,(0.50) 0.00,(0.50) 0.00
Average/Average,Model Train,0.08,(0.00) -0.09,(0.21) 0.03
Average/Average,Model Test (Unbiased Bridge),0.23,(0.04) -0.11,(0.11) 0.09
Average/Average,Biased Bridge,0.00,(0.17) -0.05,(0.16) 0.07
